userId,userName,gz_num,fs_num,intro,age
4.29E+15,说好的牛呢我日,1,0,任你天翻地覆我依然巍然不动,2.3年
6.08E+15,不知妻美,8,42,玉树临风美少年 揽镜自古夜不眠,5.2年
3.42E+15,紫华安,0,27,这个人很懒，什么都没有留下,2.1年
8.76E+15,慧眼掘金88号,69,44,这个人很懒，什么都没有留下,4年
5.68E+15,蓝鲸财经,0,24465,专注财经新闻报道、财经事件解读。由国内多名资深媒体人担纲主编，第一时间财经新闻报道、财经事件解读，力推富有建设性的深度报道。,2年
8.76E+15,慧眼掘金88号,69,44,这个人很懒，什么都没有留下,4年
8.76E+15,慧眼掘金88号,69,44,这个人很懒，什么都没有留下,4年
1.29E+15,韭菜的韭菜123,3,1,这个人很懒，什么都没有留下,1.9年
8.76E+15,慧眼掘金88号,69,44,这个人很懒，什么都没有留下,4年
9.07E+15,远离主力骗局,4,278,这个人很懒，什么都没有留下,9.1年
7.21E+15,股友NNnn2B,6,1,这个人很懒，什么都没有留下,3年
8.08E+15,股友2MWkBD,1,0,这个人很懒，什么都没有留下,1.5年
6.40E+15,金玉富贵的王重阳,1,0,这个人很懒，什么都没有留下,1.4年
3.05E+15,股友Y3hb2N,3,0,这个人很懒，什么都没有留下,11个月
1.20E+15,新疆视角,0,11,以独特的视角看新疆！,8个月
5.83E+15,深度观点财经,0,14224,有观点，有趣，有深度。,3.3年
3.22E+15,up偶333333,0,30,,6个月
2.20E+15,产经1号财经,0,87,全方位挖掘信息潜在价值,7个月
3.37E+15,基民hg1bKd,0,1,这个人很懒，什么都没有留下,11个月
4.44E+15,股友g5TVI1,2,0,这个人很懒，什么都没有留下,11个月
4.37E+15,修改昵称之高压电,7,1,这个人很懒，什么都没有留下,1年
7.21E+15,股友NNnn2B,6,1,这个人很懒，什么都没有留下,3年
7.21E+15,股友NNnn2B,6,1,这个人很懒，什么都没有留下,3年
2.39E+15,股友RkGxpt,21,4,这个人很懒，什么都没有留下,6.8年
4.88E+15,日进腾达的周伯通,2,1,这个人很懒，什么都没有留下,8个月
8.46E+15,金刚骑红牛,3,0,这个人很懒，什么都没有留下,1.2年
2.22E+15,股友jJ1sDJ,5,1,这个人很懒，什么都没有留下,5.4年
7.25E+15,股友Wohr1u,0,0,这个人很懒，什么都没有留下,11个月
9.96E+15,河边桥桥,9,5,这个人很懒，什么都没有留下,11个月
5.00E+15,Wakerwang,8,1,这个人很懒，什么都没有留下,2.2年
8.54E+15,n1432574786ef82e,6,36,,6.2年
7.21E+15,股友NNnn2B,6,1,这个人很懒，什么都没有留下,3年
9.20E+15,股友AHhagg,0,0,这个人很懒，什么都没有留下,2年
4.23E+15,小AAAAA,0,4,短线客,5.6年
8.61E+15,股友jO8t2Y,21,4,这个人很懒，什么都没有留下,2.9年
4.38E+15,大白读保,0,40,大白话说清保险，买保险不花冤枉钱。,2.1年
6.44E+15,小陌香香,26,0,这个人很懒，什么都没有留下,4.1年
5.08E+15,犍为大聪明,48,1,哥虽不是一匹骏马，但也不是一般的毛驴,2年
3.87E+15,丙寅丙寅寅丙寅寅,247,17,这个人很懒，什么都没有留下,5.5年
7.21E+15,股友NNnn2B,6,1,这个人很懒，什么都没有留下,3年
9.36E+15,Hx27422,0,10,这个人很懒，什么都没有留下,6.3年
5.41E+15,狐狸会翻筋斗,25,11,这个人很懒，什么都没有留下,2.3年
5.21E+15,炒股的小和尚,6,8,这个人很懒，什么都没有留下,2.3年
9.74E+15,老有所依幼有所养,0,0,这个人很懒，什么都没有留下,1.5年
9.53E+15,富可生财地若素,10,5,尽力而为…！,3.7年
8.51E+15,一朵油菜花啊,0,1929,！,7.4年
6.10E+15,股友uyMtq3,25,3,这个人很懒，什么都没有留下,5.3年
1.01E+15,牵牛哥哥3,2,27,潜心在股市修行,4.9年
7.74E+15,知无涯者卜,7,1,这个人很懒，什么都没有留下,4.3年
